Sweep Start (s), 124.544, 124.7079, 124.8717, 125.0356, 125.1994, 125.3632, 125.5271, 125.6909, 125.8548, 126.0186, 126.1824, 126.3463, 126.5101, 126.674, 126.8378, 127.0016, 127.1655, 127.3293, 127.4932, 127.657, 127.8208, 127.9847, 128.1485, 128.3124, 128.4762, 128.64, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, 
0, -428.3649, -189.6869, -200.6427, -167.0429, -195.119, -194.9664, -217.702, -186.9098, -214.6808, -197.3773, -207.9975, -223.0731, -202.1381, -210.5609, -202.4738, -188.039, -192.0368, -194.8749, -192.0368, -226.0944, -217.2138, -242.9401, -204.0912, -208.3331, -205.0372, -223.0426, 
2E-05, -423.4515, -185.7501, -202.1076, -173.5126, -188.8629, -204.2133, -230.1532, -204.3048, -203.2062, -195.6684, -194.7223, -228.4747, -205.1898, -195.6378, -190.6329, -188.2221, -204.4574, -187.9474, -203.8165, -211.2628, -213.9179, -212.5751, -192.8913, -211.1102, -199.1779, -212.0258, 
4E-05, -417.9279, -203.6029, -201.5888, -185.7807, -189.7174, -204.1828, -234.5783, -223.8971, -209.3402, -192.0368, -194.0204, -224.5075, -203.2977, -196.0651, -196.767, -188.9545, -221.3642, -189.6869, -190.5109, -201.07, -221.0895, -214.9555, -210.5609, -206.9904, -191.518, -195.2106, 
6E-05, -432.6984, -215.0165, -194.2951, -188.2831, -186.5131, -210.4389, -227.4982, -192.7387, -195.4547, -203.3283, -199.1779, -223.9887, -196.6449, -191.579, -209.8285, -202.6874, -215.81, -206.9904, -189.046, -216.695, -213.3075, -226.9184, -200.0018, -207.6312, -203.2062, -209.9506, 
8E-05, -426.8085, -209.1571, -204.4879, -175.6488, -197.7435, -201.5582, -228.4747, -186.2079, -196.4313, -198.5065, -201.9855, -241.3837, -208.5163, -179.8908, -210.5914, -210.9271, -216.5119, -220.174, -204.1217, -223.8971, -210.9577, -230.2753, -191.8842, -209.6454, -191.4874, -196.4008, 
0.0001, -432.3322, -201.7108, -206.1359, -169.1486, -193.3185, -193.6847, -215.1691, -196.0956, -206.8073, -199.422, -191.6705, -228.9935, -207.3261, -190.3888, -202.84, -205.8307, -206.8683, -189.3512, -207.2955, -213.7653, -210.0116, -218.8922, -199.9408, -225.0568, -200.3986, -198.2318, 
0.00012, -421.9562, -201.9245, -204.1522, -173.7262, -190.4804, -193.9899, -210.5609, -196.8585, -203.9081, -203.725, -194.6002, -229.4513, -202.4738, -192.6471, -197.1332, -203.0536, -213.7042, -192.2809, -206.7157, -218.4345, -221.9135, -217.0612, -200.4291, -206.5936, -192.3114, -207.2345, 
0.00014, -433.5529, -189.0766, -208.7604, -172.0783, -184.1632, -208.6078, -226.1249, -206.9599, -209.4318, -204.3964, -210.1947, -220.296, -193.1964, -188.6798, -206.3495, -206.6242, -213.9484, -198.537, -195.6378, -220.4791, -224.3244, -219.4721, -197.0416, -209.737, -191.2433, -203.8776, 
0.00016, -426.3507, -190.694, -186.5131, -176.3507, -176.9, -195.5463, -225.5145, -188.2831, -203.2672, -193.4406, -212.9718, -218.6176, -190.9686, -198.8117, -211.9953, -205.4645, -225.2399, -199.8493, -202.2907, -223.0731, -217.6105, -210.1032, -210.1642, -210.2558, -193.1354, -208.4247, 
0.00018, -422.5665, -215.2606, -191.4874, -171.7731, -196.767, -196.0651, -222.6764, -186.6962, -207.2955, -189.4733, -208.6078, -222.2492, -191.0297, -200.7343, -193.8678, -195.2411, -214.5282, -201.9855, -198.1098, -220.8148, -207.4787, -182.7289, -204.671, -198.7811, -199.0558, -199.3305, 
0.0002, -436.7572, -209.2182, -201.7413, -178.9752, -204.549, -196.767, -221.6693, -183.1867, -204.2133, -210.3473, -195.5463, -223.4699, -192.1588, -195.2411, -200.7343, -194.4782, -211.3239, -197.8961, -186.1469, -213.277, -222.6764, -187.9169, -217.4274, -204.2438, -207.5702, -198.9032, 
0.00022, -433.7665, -200.9784, -198.6896, -183.4308, -195.943, -194.5697, -230.0006, -187.8864, -194.234, -198.9642, -196.7975, -222.4323, -199.0558, -194.6613, -205.556, -206.4105, -206.8683, -216.6339, -194.3561, -210.622, -227.1015, -185.0788, -204.7321, -195.3632, -194.9359, -207.3261, 
0.00024, -425.6488, -194.3256, -202.6569, -184.2853, -202.901, -196.3397, -228.3222, -183.6749, -187.0929, -195.2411, -200.5206, -227.0099, -206.1359, -198.8422, -202.1686, -208.3026, -208.7604, -203.6334, -198.1403, -216.3288, -221.0895, -188.7714, -197.3773, -193.8983, -200.0629, -210.2863, 
0.00026, -429.1888, -194.3561, -190.6329, -178.2733, -213.3075, -199.8798, -211.3544, -200.0018, -207.9059, -211.8121, -202.84, -216.5729, -216.1151, -213.1854, -197.7435, -198.8117, -223.4699, -201.131, -193.9594, -219.9298, -214.3756, -197.6215, -195.5768, -201.9855, -188.4357, -202.4433, 
0.00028, -436.2689, -201.9855, -195.8209, -189.6869, -200.0018, -202.4127, -220.7843, -195.6378, -215.1386, -208.7299, -211.9037, -213.4906, -206.3495, -208.028, -209.4928, -201.6803, -212.5751, -201.6498, -201.6803, -215.2912, -210.1032, -209.3402, -207.5092, -207.0819, -200.7953, -199.2084, 
0.0003, -421.1627, -205.4035, -203.8776, -179.8602, -199.1779, -192.2199, -235.5853, -204.7321, -223.2868, -194.8749, -192.0368, -219.35, -202.1686, -211.9647, -201.4362, -204.8847, -210.8661, -208.8825, -196.4618, -204.3353, -209.1571, -206.8988, -197.8351, -206.2274, -206.8073, -200.2155, 
0.00032, -415.3033, -198.0182, -210.683, -179.4025, -206.7157, -195.5158, -227.9865, -199.0558, -211.4459, -192.1283, -195.7904, -220.6928, -207.2345, -199.0863, -198.1098, -203.8165, -213.0939, -201.8634, -202.9621, -212.6361, -210.3168, -196.8891, -203.5419, -197.713, -206.6242, -190.0226, 
0.00034, -423.2074, -193.0133, -201.6803, -180.1959, -193.7763, -195.7599, -216.1151, -200.4291, -199.5746, -200.0018, -203.786, -220.5707, -201.8024, -204.8847, -189.8395, -199.1474, -216.5729, -208.4552, -203.3893, -214.4977, -221.6388, -203.9996, -194.3866, -202.5653, -202.1686, -184.5294, 
0.00036, -422.8717, -191.9757, -198.1403, -173.0548, -200.9174, -201.8634, -225.8197, -213.7958, -208.3026, -209.5538, -208.8825, -227.5287, -200.7343, -198.2929, -206.9904, -198.3539, -219.1974, -206.4411, -193.6847, -216.2677, -213.7042, -203.5114, -192.2504, -201.1615, -197.8961, -192.6471, 
0.00038, -429.0363, -186.1774, -176.6559, -183.3087, -210.0421, -206.8378, -235.3717, -201.2225, -213.7958, -205.7697, -206.1359, -227.1015, -198.8422, -198.6286, -206.5021, -200.1544, -210.4083, -203.0841, -194.6002, -212.7277, -217.6105, -205.1898, -197.0722, -212.4835, -192.4945, -205.2509, 
0.0004, -439.2902, -199.0253, -200.0018, -179.5856, -195.4852, -209.5844, -230.7941, -192.2504, -216.3898, -206.7462, -201.7413, -227.7423, -207.7228, -195.4547, -200.8563, -209.6149, -214.1925, -198.6896, -193.2269, -212.1173, -226.5216, -207.9975, -207.7228, -215.2606, -190.7245, -191.2738, 
0.00042, -427.4493, -204.61, -215.047, -179.7077, -203.786, -204.0607, -217.8241, -200.2155, -199.6051, -199.7882, -195.7599, -225.1483, -194.5392, -209.2792, -192.2504, -208.7909, -203.8165, -201.8939, -211.5375, -215.4743, -212.1784, -200.307, -216.3288, -196.004, -184.6515, -199.5441, 
0.00044, -430.379, -191.2128, -209.859, -189.6259, -201.8634, -202.1991, -232.9913, -207.1124, -203.5724, -190.4193, -199.7882, -213.8873, -188.7409, -210.0726, -191.518, -196.9196, -201.7108, -203.9081, -199.0558, -214.3146, -206.5936, -210.0116, -208.4552, -196.5534, -202.7484, -197.8961, 
0.00046, -442.464, -187.4896, -194.7833, -182.2101, -199.5441, -205.6476, -230.2753, -212.2394, -200.0018, -178.487, -192.9828, -217.1527, -185.567, -192.4335, -203.0536, -195.4852, -216.5729, -207.8754, -196.828, -226.8573, -214.8029, -202.2296, -198.0182, -204.671, -209.2792, -201.131, 
0.00048, -425.0995, -195.2106, -191.2738, -177.4799, -188.6493, -191.7926, -233.1745, -206.1359, -197.8351, -184.6515, -187.1234, -215.1691, -191.4874, -196.4618, -189.1071, -209.1571, -212.8803, -209.1266, -207.204, -213.8873, -217.6715, -192.8302, -198.598, -195.4547, -200.7038, -198.9337, 
0.0005, -430.0128, -204.9457, -184.5905, -211.1102, -189.046, -200.4901, -233.7848, -183.1561, -205.2204, -198.7201, -193.7763, -212.9718, -202.3212, -196.1566, -199.4525, -195.5463, -223.1952, -212.0258, -206.319, -205.7697, -215.4132, -196.828, -197.1942, -204.8236, -201.0394, -198.2623, 
0.00052, -428.4869, -208.4552, -202.077, -208.8519, -202.1686, -211.4459, -229.8786, -195.4242, -207.7533, -197.2553, -202.4433, -202.5348, -222.0966, -205.1593, -204.8847, -197.4994, -228.9325, -202.016, -200.2765, -209.5844, -211.3544, -193.8373, -201.7413, -214.1315, -193.8678, -195.943, 
0.00054, -426.8695, -205.9833, -211.507, -188.8629, -203.6029, -194.9664, -221.5473, -210.4083, -205.0678, -197.6215, -216.7255, -191.4569, -208.2721, -226.1859, -197.8656, -193.288, -219.6857, -200.1239, -197.8961, -221.4557, -207.2345, -201.8329, -196.6449, -205.9223, -187.4896, -195.3021, 
0.00056, -423.3295, -202.7179, -215.7489, -185.1398, -191.6095, -198.476, -224.5075, -195.882, -194.6613, -212.453, -210.8051, -205.7086, -186.7267, -215.2301, -197.8046, -206.1664, -209.737, -205.0372, -203.5419, -224.2023, -217.1222, -194.234, -209.2792, -190.2362, -196.1566, -199.1779, 
0.00058, -433.4918, -205.3424, -205.9833, -220.3266, -204.8541, -211.0187, -218.1293, -212.4225, -193.1659, -215.9015, -197.4994, -201.131, -207.143, -208.5773, -190.9381, -206.6547, -213.1854, -199.1779, -191.3959, -209.8285, -215.7794, -196.8891, -213.277, -188.985, -213.1549, -195.2411, 
0.0006, -426.7169, -203.9386, -202.6874, -227.7423, -189.87, -194.997, -220.6928, -209.0656, -195.5158, -206.1664, -205.556, -201.131, -218.3429, -197.8961, -206.1054, -185.1398, -207.5702, -201.1005, -203.9691, -208.089, -199.7272, -213.338, -201.955, -196.2482, -204.6405, -200.307, 
0.00062, -421.6815, -214.101, -192.7081, -233.1745, -193.8678, -197.5604, -226.2775, -199.2084, -194.9054, -195.7599, -208.7604, -200.2155, -202.2601, -195.7599, -193.6847, -204.5795, -209.3402, -209.4318, -202.7789, -209.798, -214.0704, -202.9621, -198.0487, -201.3751, -197.2858, -211.0797, 
0.00064, -427.5409, -198.3539, -186.6657, -222.1271, -204.2133, -199.6356, -226.3385, -205.1288, -196.1871, -200.8258, -200.4901, -196.8891, -196.9501, -200.5206, -209.3707, -211.507, -214.5892, -201.6498, -214.9249, -216.8781, -229.3598, -202.5653, -196.004, -203.0841, -188.6493, -203.5114, 
0.00066, -429.5245, -204.549, -192.7997, -204.0607, -194.2035, -206.5936, -230.5194, -208.3331, -195.6378, -197.0111, -193.3795, -182.6679, -194.0204, -204.3964, -217.0612, -202.1381, -211.2018, -196.7059, -203.0231, -224.1718, -214.223, -188.8324, -192.3114, -203.9081, -185.5975, -200.1239, 
0.00068, -427.724, -212.2699, -208.7299, -184.1937, -190.8161, -205.3729, -237.4164, -220.0214, -206.4716, -196.9196, -181.6913, -198.1708, -195.5158, -200.4596, -194.9054, -194.2035, -222.9205, -200.0324, -199.7882, -204.3659, -204.5795, -200.4596, -201.8634, -208.089, -193.6542, -187.3981, 
0.0007, -435.1703, -198.598, -196.9196, -178.3038, -213.5211, -190.2667, -227.6203, -202.84, -195.8515, -198.598, -204.1828, -208.3331, -200.4901, -199.5746, -205.7086, -193.349, -228.2306, -199.9103, -194.0814, -201.5582, -204.2438, -189.5954, -220.7843, -204.7626, -199.8798, -206.5631, 
0.00072, -426.5643, -190.9992, -191.4874, -188.985, -196.3703, -201.5582, -234.0289, -193.9899, -195.058, -194.2951, -205.4035, -196.828, -204.3048, -199.8187, -195.5768, -203.3588, -218.8312, -204.1828, -206.6547, -220.6928, -223.653, -208.2721, -212.0258, -201.07, -199.5441, -192.1893, 
0.00074, -419.6674, -188.8324, -188.1305, -203.3283, -184.8346, -215.1996, -239.339, -190.9992, -199.361, -210.3778, -204.1828, -210.4083, -204.3659, -206.9904, -210.3168, -198.9337, -217.6715, -211.4459, -204.7321, -227.7118, -207.3871, -201.0089, -205.556, -214.4061, -202.016, -192.5861, 
0.00076, -439.3817, -207.1124, -191.9147, -226.9184, -195.882, -210.6525, -228.3527, -209.3707, -206.6852, -198.2013, -208.4552, -198.9948, -213.6737, -198.0792, -191.0297, -201.3446, -218.6176, -203.1452, -217.5189, -215.8405, -204.7321, -203.2672, -213.2465, -195.0885, -209.9811, -206.1054, 
0.00078, -435.0482, -203.9691, -187.6422, -218.0377, -202.6569, -213.9179, -225.1788, -212.3615, -206.2885, -191.3349, -217.7326, -193.4406, -213.9789, -193.0744, -183.736, -201.4057, -214.8029, -197.4994, -201.2836, -208.2721, -219.6246, -206.4411, -191.9757, -189.6564, -207.5702, -201.8024, 
0.0008, -430.379, -193.41, -194.8444, -215.81, -198.598, -213.8873, -229.2987, -194.6002, -197.5604, -199.4525, -207.9669, -198.598, -219.5941, -211.8427, -196.8891, -198.6591, -218.465, -204.7321, -195.882, -216.9391, -217.7326, -199.7577, -197.8351, -193.6237, -207.3566, -196.4923, 
0.00082, -428.9752, -200.5817, -190.1447, -220.6317, -190.2667, -215.2606, -219.7467, -199.1168, -198.7506, -204.1217, -199.6356, -204.8541, -214.2841, -201.4972, -208.7604, -201.07, -218.5565, -196.4618, -199.1168, -226.5216, -228.8715, -189.7174, -196.3703, -206.7157, -201.2531, -190.1752, 
0.00084, -425.4352, -196.2482, -196.8585, -218.1293, -199.9713, -206.9293, -217.1527, -203.4503, -214.162, -215.4132, -196.2787, -199.0863, -215.4743, -190.3278, -205.3119, -200.7648, -216.7255, -191.7011, -207.5397, -210.0421, -216.4508, -204.2133, -203.2672, -198.8727, -199.483, -203.4503, 
0.00086, -429.0668, -203.8471, -207.0514, -214.4061, -203.2977, -202.9926, -215.108, -205.495, -206.2885, -209.6759, -200.4291, -217.0001, -229.0546, -192.0062, -201.7719, -199.6356, -213.4296, -192.403, -215.3522, -201.9245, -214.3756, -210.7135, -212.1173, -198.537, -196.1261, -192.464, 
0.00088, -428.609, -201.8024, -206.8988, -218.0072, -193.1659, -224.599, -222.6154, -203.5419, -193.5321, -199.9103, -206.5936, -201.2531, -211.2323, -202.3212, -212.7887, -207.265, -214.7113, -201.07, -192.9523, -209.5538, -209.2182, -203.4503, -196.3397, -211.3239, -202.2601, -209.9506, 
