Sweep Start (s), 11.12736, 11.2912, 11.45504, 11.61888, 11.78272, 11.94656, 12.1104, 12.27424, 12.43808, 12.60192, 12.76576, 12.9296, 13.09344, 13.25728, 13.42112, 13.58496, 13.7488, 13.91264, 14.07648, 14.24032, 14.40416, 14.568, 14.73184, 14.89568, 15.05952, 15.22336, 15.3872, 15.55104, 15.71488, 15.87872, 16.04256, 16.2064, 16.37024, 16.53408, 16.69792, 16.86176, 17.0256, 17.18944, 17.35328, 17.51712, 17.68096, 17.8448, 18.00864, 18.17248, 18.33632, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, Sweep #43, Sweep #44, Sweep #45, 
0, -239.7507, -238.3774, -185.4599, -235.051, -226.5976, -247.9905, -234.4101, -239.5676, -234.5322, -227.9709, -229.8325, -431.7978, -236.2412, -226.1094, -252.6597, -242.7414, -224.7361, -222.2947, -227.0859, -242.4973, -241.7344, -221.5012, -228.2456, -239.9033, -228.8254, -230.4734, -235.9055, -236.9736, -212.6511, -242.3752, -230.0156, -231.633, -241.3987, -240.5442, -251.3779, -227.5132, -225.9568, -236.821, -234.7458, -232.0908, -231.2973, -224.614, -239.2319, -235.9055, -241.2461, 
2E-05, -241.9785, -230.8396, -178.2578, -241.6123, -221.3791, -237.6145, -230.9311, -228.3371, -242.8025, -235.0205, -213.5056, -450.7187, -229.1916, -232.8843, -240.5747, -238.7742, -228.4592, -221.6538, -235.7834, -236.4853, -225.7737, -231.1448, -231.6941, -228.4897, -232.0908, -235.8445, -245.8542, -239.6592, -227.5742, -227.2995, -225.1023, -234.1355, -244.1758, -245.8237, -231.633, -228.8865, -225.8957, -230.5039, -236.0581, -218.9682, -240.6052, -224.1257, -236.4853, -219.7312, -224.3699, 
4E-05, -238.6826, -226.6587, -190.2512, -218.8157, -224.2173, -232.7012, -233.4641, -231.8467, -239.0793, -221.3791, -210.2707, -448.6435, -239.8423, -237.4314, -226.6587, -245.5185, -235.8139, -224.553, -237.3703, -219.5481, -222.2031, -227.0554, -234.99, -230.8396, -230.2903, -226.9028, -232.2434, -229.863, -224.5224, -220.0364, -213.9023, -228.3066, -228.3066, -229.6799, -225.5906, -242.9551, -219.7312, -233.8608, -236.4548, -228.2151, -238.8657, -228.9475, -232.8537, -217.2287, -236.821, 
6E-05, -230.9311, -230.5954, -189.061, -229.4663, -229.4053, -223.3933, -237.9502, -238.469, -236.1802, -228.7949, -207.28, -454.2588, -227.147, -226.0483, -227.2995, -235.1426, -240.0254, -240.8493, -221.4097, -226.5061, -222.1726, -245.366, -229.6189, -239.5371, -230.9311, -241.5818, -221.4097, -236.2717, -228.4592, -223.0576, -218.1443, -225.9263, -231.3279, -223.3628, -241.4292, -235.1731, -217.8086, -212.407, -241.6428, -229.4968, -250.3098, -218.48, -244.5725, -225.2549, -225.3464, 
8E-05, -228.7949, -234.3796, -205.1133, -236.5769, -240.3306, -231.9687, -249.0281, -236.699, -229.1611, -232.0298, -211.583, -447.0871, -227.3301, -232.4875, -233.4336, -233.8608, -244.1758, -236.7295, -242.9245, -231.8772, -229.5884, -235.9971, -245.427, -235.2036, -230.3208, -222.7524, -229.4053, -231.7246, -231.9687, -232.3655, -227.8489, -226.0788, -229.802, -230.5649, -236.0581, -226.7502, -225.0107, -206.5171, -231.8467, -232.1518, -246.0984, -238.1638, -228.4287, -230.687, -226.8418, 
0.0001, -242.3447, -228.032, -202.6108, -227.9099, -235.6919, -223.2712, -231.2973, -234.166, -233.9524, -243.2908, -206.4255, -440.8005, -238.9878, -237.9807, -245.7627, -226.5061, -224.5224, -233.5862, -234.5322, -222.5998, -227.4216, -227.7878, -237.8586, -234.4712, -227.7268, -216.8625, -239.1709, -234.1355, -225.9568, -224.9802, -230.1072, -229.5884, -232.6401, -246.251, -231.572, -228.7339, -224.2478, -212.468, -230.2598, -245.8542, -239.6897, -243.1382, -235.051, -228.3066, -224.4919, 
0.00012, -241.185, -223.0576, -200.9934, -237.4619, -233.6472, -217.3508, -237.2483, -228.7034, -226.1399, -236.6379, -219.4565, -439.2441, -240.8188, -234.9595, -231.8161, -237.4619, -233.7082, -233.7998, -226.0788, -233.6777, -229.1916, -246.0984, -232.9453, -232.7622, -235.3562, -224.2478, -234.6848, -227.9404, -240.239, -237.5229, -255.6199, -237.706, -219.9753, -229.039, -226.0483, -227.9709, -232.7317, -208.6228, -244.4199, -238.2859, -224.4614, -239.2014, -228.8865, -223.5764, -235.7834, 
0.00014, -233.1589, -223.6069, -189.824, -242.8025, -232.0603, -221.4707, -240.6357, -218.3274, -236.5464, -225.2549, -215.9775, -426.1826, -232.9148, -224.2783, -236.2717, -238.53, -235.5698, -233.5251, -229.2527, -237.4619, -246.3425, -238.6521, -242.5889, -237.6145, -241.5513, -236.821, -232.1213, -214.2991, -226.1704, -246.4341, -243.9927, -243.9621, -238.9267, -236.4853, -231.1142, -227.1164, -223.8816, -202.8244, -240.4831, -229.5578, -223.1186, -234.2881, -231.7551, -224.614, -241.8869, 
