Sweep Start (s), 52.00926, 52.1731, 52.33694, 52.50078, 52.66462, 52.82846, 52.9923, 53.15614, 53.31998, 53.48382, 53.64766, 53.8115, 53.97534, 54.13918, 54.30302, 54.46686, 54.6307, 54.79454, 54.95838, 55.12222, 55.28606, 55.4499, 55.61374, 55.77758, 55.94142, 56.10526, 56.2691, 56.43294, 56.59678, 56.76062, 56.92446, 57.0883, 57.25214, 57.41598, 57.57982, 57.74366, 57.9075, 58.07134, 58.23518, 58.39902, 58.56286, 58.7267, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, 
0, -456.6086, -231.1142, -231.4805, -237.9502, -230.9617, -232.8232, -235.6614, -453.6484, -234.4101, -223.1797, -226.7502, -213.0173, -231.7246, -233.8608, -238.7742, -445.134, -454.2588, -450.5356, -125.0962, -229.7715, -237.8891, -236.2107, -241.4597, -241.2461, -236.821, -234.2576, -197.1482, -223.8511, -208.5007, -199.0403, -240.4831, -230.4429, -230.0461, -229.4053, -235.1426, -246.6477, -201.7258, -223.668, -239.3845, -193.9743, -244.2063, -227.5742, 
2E-05, -455.6015, -242.1921, -245.9153, -230.1072, -232.8843, -239.5066, -245.8848, -452.4277, -240.7273, -233.7388, -227.5132, -217.3813, -218.1443, -226.5366, -239.354, -452.6718, -454.8081, -451.2986, -121.1289, -226.2619, -230.7175, -237.3398, -228.7339, -245.0913, -224.0036, -226.2314, -210.1487, -233.7082, -216.2217, -203.3738, -238.8352, -223.6985, -232.1518, -230.9617, -242.6194, -242.0701, -214.2685, -221.6233, -230.1987, -200.0473, -218.5105, -233.342, 
4E-05, -458.104, -234.7458, -233.4031, -233.4031, -241.1545, -244.1452, -236.6074, -447.2092, -243.8096, -241.6733, -228.1235, -198.3078, -236.76, -228.0014, -236.5159, -453.5263, -463.292, -449.7116, -120.366, -241.2461, -235.6614, -233.6777, -226.0178, -229.9851, -221.4402, -233.4641, -219.9448, -240.3916, -213.9939, -214.2991, -246.8003, -232.9758, -238.3164, -235.6614, -228.3677, -230.2903, -200.5967, -219.7007, -227.9404, -189.1526, -222.6609, -225.3769, 
6E-05, -448.613, -231.633, -221.2571, -229.6494, -239.5371, -252.0188, -225.6211, -438.4812, -232.2129, -225.438, -239.7202, -203.6179, -234.8374, -218.7241, -233.5556, -448.6435, -459.2636, -457.2495, -126.8662, -229.0696, -247.8989, -245.5491, -234.1355, -216.832, -222.6609, -231.3889, -215.6418, -241.5513, -214.0549, -224.1257, -235.8139, -212.1628, -235.2952, -232.396, -225.7126, -247.1665, -214.9094, -213.292, -237.8586, -205.1743, -234.5017, -233.8913, 
8E-05, -456.5781, -233.0368, -205.51, -230.5344, -231.3279, -233.8608, -234.1965, -443.8217, -233.6472, -231.0837, -241.2766, -200.1694, -240.5747, -229.5578, -244.9082, -450.8408, -463.6277, -454.747, -128.27, -229.4358, -236.76, -239.3845, -248.0515, -208.7143, -227.269, -226.7197, -226.2619, -238.2859, -207.219, -222.2031, -230.5344, -207.7378, -226.2619, -225.2854, -233.3725, -244.2063, -205.3879, -207.0054, -241.0325, -231.4805, -235.8139, -227.269, 
0.0001, -457.5241, -228.3677, -192.6316, -230.9922, -227.7573, -239.354, -235.1731, -457.6157, -235.2952, -242.2532, -231.633, -196.8125, -234.3491, -234.8069, -246.6782, -450.2915, -437.4131, -445.3171, -131.9321, -227.6963, -231.6636, -231.2363, -243.8401, -213.9634, -227.6658, -233.5251, -216.5268, -231.8772, -194.0354, -212.6816, -235.9665, -223.9426, -221.0434, -223.729, -229.7715, -248.082, -216.4048, -201.7868, -247.8684, -233.5862, -240.1169, -233.4641, 
0.00012, -440.9836, -237.8586, -184.1782, -230.5954, -226.2925, -238.0417, -234.5017, -438.4201, -254.7043, -233.6472, -224.8581, -207.3105, -244.1452, -228.8254, -241.3681, -455.632, -435.8261, -446.3547, -141.1789, -229.3137, -234.4407, -225.1938, -233.6167, -214.3906, -236.2107, -233.7388, -203.9536, -232.0908, -209.7519, -214.238, -222.02, -226.8113, -226.1094, -243.9011, -217.2898, -251.4389, -217.9612, -216.3743, -236.821, -244.6335, -226.8113, -239.6286, 
0.00014, -444.8593, -232.6706, -192.1433, -232.5181, -236.1191, -241.0325, -231.8467, -446.843, -235.1426, -235.6919, -224.0342, -214.6653, -232.2434, -228.1235, -233.0979, -445.1645, -461.705, -440.6479, -144.2307, -240.7883, -230.687, -226.8418, -246.0068, -214.238, -231.2973, -228.5813, -206.8223, -242.7414, -217.8391, -228.154, -237.8586, -227.0859, -230.4123, -240.3916, -240.0559, -234.166, -200.383, -207.2495, -230.1987, -233.7082, -215.3061, -228.6728, 
0.00016, -450.7187, -233.5556, -197.2397, -229.5884, -235.9665, -233.3725, -237.0347, -449.8947, -236.9126, -222.5083, -239.3845, -194.0049, -235.8139, -240.239, -233.4031, -450.5356, -459.7214, -444.4016, -126.561, -243.9927, -218.8462, -234.7458, -226.4756, -220.25, -234.2576, -235.3867, -221.2265, -246.312, -208.4092, -226.2009, -246.6782, -229.1611, -233.7693, -241.9785, -250.5234, -228.3371, -210.3013, -213.7497, -224.553, -236.7905, -231.2058, -229.1306, 
0.00018, -461.2168, -231.8772, -198.7961, -232.2739, -229.039, -233.1589, -240.0864, -449.0403, -244.664, -231.572, -233.1589, -205.9678, -237.5535, -233.7693, -245.3965, -462.4375, -446.5988, -452.5803, -139.6531, -220.7993, -200.0168, -241.3071, -220.3721, -235.6614, -234.8069, -243.3823, -208.7449, -235.3867, -196.0801, -226.6892, -242.7109, -228.7644, -238.0112, -239.3845, -230.1377, -227.208, -221.4707, -241.0019, -234.4407, -246.8918, -232.6706, -231.0532, 
0.0002, -456.5171, -231.2363, -184.697, -233.0674, -227.2385, -242.7109, -228.0625, -464.9399, -237.6755, -241.2156, -236.3022, -205.6931, -240.4831, -229.4663, -240.0864, -451.8784, -452.8244, -460.3318, -174.0769, -217.1372, -194.249, -238.2554, -228.6423, -230.4123, -238.4995, -243.4739, -215.1535, -250.737, -220.4636, -215.3061, -242.8635, -238.4079, -233.6472, -223.1492, -224.3699, -234.7153, -217.8696, -247.4411, -261.9065, -245.7322, -235.2036, -238.469, 
0.00022, -450.1389, -236.8515, -173.8633, -235.1426, -240.9714, -238.0417, -219.5786, -464.6958, -235.936, -242.7414, -231.1448, -203.4043, -233.6472, -229.3747, -234.5017, -452.5803, -452.2446, -453.2517, -176.1216, -214.7873, -205.2659, -229.802, -221.196, -233.8303, -227.0249, -234.105, -222.3252, -234.7764, -214.0854, -209.5993, -242.5889, -222.966, -235.4477, -221.074, -242.4668, -229.863, -220.7993, -226.5061, -226.4145, -244.2978, -241.6733, -237.9502, 
0.00024, -451.2986, -233.7388, -192.9062, -230.7785, -236.5464, -233.7998, -248.8755, -449.498, -237.584, -249.0891, -248.5398, -220.311, -223.8816, -242.1921, -231.3279, -452.6108, -459.7519, -457.7072, -173.8938, -210.5454, -207.5242, -231.1448, -231.5415, -238.8352, -236.6074, -215.6723, -210.1792, -239.6592, -213.5361, -208.1955, -240.4526, -232.7927, -236.5464, -228.5813, -236.699, -235.3257, -211.2778, -239.1098, -232.6096, -244.7861, -232.8843, -233.281, 
0.00026, -448.7351, -231.8772, -197.6059, -246.5561, -231.9077, -240.239, -235.936, -459.8435, -236.6684, -223.7595, -240.7578, -217.6255, -221.6843, -238.9267, -228.7034, -456.0898, -449.6201, -446.019, -186.6806, -206.6086, -209.6909, -234.2881, -246.4341, -231.8161, -232.457, -219.7312, -199.1318, -238.8657, -214.3296, -226.1399, -230.3818, -240.9409, -232.4875, -232.0298, -213.8718, -230.5649, -220.0669, -234.6543, -244.6335, -256.9931, -219.3345, -226.6282, 
0.00028, -454.8996, -238.0723, -193.303, -241.0935, -235.1426, -242.833, -234.4407, -460.0876, -241.124, -232.1518, -233.8913, -225.438, -227.9099, -233.281, -233.4336, -466.0691, -453.6789, -464.2685, -180.5466, -212.7121, -211.4304, -232.6706, -248.2041, -225.4685, -220.7993, -254.8874, -205.4184, -231.9382, -204.8691, -235.936, -230.8396, -222.5083, -229.7104, -237.4924, -222.1421, -219.3345, -217.3813, -228.9475, -246.4951, -251.0727, -218.0527, -225.4075, 
0.0003, -462.8647, -240.2085, -192.7536, -243.3518, -237.5535, -234.7153, -227.147, -452.2751, -238.469, -232.6096, -234.1355, -215.5503, -225.1938, -217.3508, -234.3186, -463.0783, -453.9841, -454.5334, -170.9641, -201.8479, -211.4609, -235.0205, -227.9404, -238.2859, -218.0222, -238.9573, -223.6985, -244.4199, -215.5503, -218.541, -229.9851, -218.1748, -230.6565, -226.9028, -231.4194, -228.917, -216.4353, -235.9971, -233.0368, -211.0642, -232.9453, -234.6848, 
0.00032, -451.3596, -242.8025, -225.8042, -248.7839, -229.741, -232.6401, -233.7998, -446.4463, -238.2859, -226.5061, -225.0412, -204.4724, -213.9634, -239.3235, -241.2156, -453.2822, -442.5095, -448.7961, -171.2693, -204.5029, -204.4724, -234.4712, -232.9758, -239.6286, -223.0271, -239.1098, -212.1323, -243.2297, -215.2451, -209.4162, -243.0771, -230.0766, -243.3518, -222.7524, -234.3186, -238.9878, -221.9895, -248.2041, -226.2925, -229.3747, -239.8728, -237.2178, 
